"State","Year","From State government1","Taxes","Property","Sales and gross receipts","General sales","Selective sales","Motor fuel","Alcoholic beverage","Tobacco products","Public utilities","Other selective sales","Individual income","Corporate income","Motor vehicle license","Other taxes","Charges and miscellaneous general revenue","Current charges","Education","School lunch sales (gross)","Hospitals","Highways","Air transportation (airports)","Parking facilities","Sea and inland port facilities","Natural resources","Parks and recreation","Housing and community development","Sewerage","Solid waste management","Other charges","Capital outlay","Higher education","Elementary & secondary","Other education","Libraries","Public welfare","Cash assistance payments","Vendor payments","Other public welfare","Health","Veterans' services","Police protection","Debt outstanding","Employment security administration"
"Iowa","2018","0","10088480","1671","4687073","3279789","1407284","671937","22183","212469","39039","461656","3897236","443187","664178","395135","5526808","3876254","1586513","0","2042023","2366","1706","0","0","111811","5068","14507","0","4592","107668","1829975","2802568","0","521763","2930","6128494","240510","5436702","451282","140808","1665","99422","6270052","51413"
"Kansas","2018","0","9546790","714895","4494809","3304091","1190718","461075","142126","130247","373","456897","3413677","437967","222978","262464","5222418","3958081","1252251","0","2242730","125459","0","0","0","36798","329","6072","0","0","294442","1057936","2618017","0","304793","3916","4408119","56479","3735570","616070","392417","10435","107726","7573220","31485"
"Kentucky","2018","0","12297789","660902","5714427","3600598","2113829","702651","145648","228749","61126","975655","4499086","749500","211646","462228","5190504","3944464","1643920","0","1919942","75755","453","0","0","82690","63268","17249","0","1165","140022","1966624","4365418","700671","1109798","6731","11775172","176441","10818464","780267","386746","53330","182943","14815835","114423"
"Louisiana","2018","0","11357686","60172","6864723","4252693","2612030","631641","75774","163770","9349","1731496","3246226","358208","79284","749073","4143687","2191328","1641637","0","26283","20298","232","0","103620","12505","108380","2311","0","0","276062","2024653","3337940","0","883170","4566","12158245","32608","11379415","746222","527528","7217","242622","18161028","111263"
"Maine","2018","0","4410632","39308","2250293","1529113","721180","250468","19647","132950","21573","296542","1605096","185737","112557","217641","1405543","891585","350392","0","25613","148407","219","0","0","20900","1475","8960","0","0","335619","350989","802726","14794","206085","4303","3322516","42507","2411004","869005","231776","366","91828","4678056","62218"
"Maryland","2018","0","22427037","808763","9567244","4716179","4851065","1084195","31682","372724","145437","3217027","9507776","1033175","501417","1008662","6587706","3918388","2247723","0","119819","746123","250448","0","58600","16610","36030","9764","161501","141","271629","3510222","5102892","30","853084","22584","13044361","1198113","10805837","1040411","1260560","2464","560060","28070035","47424"
"Massachusetts","2018","0","29654803","7197","9022362","6490305","2532057","769144","85843","594173","0","1082897","16280331","2408947","444827","1491139","11338600","6023135","2749740","5299","36428","1099098","825095","0","124277","30750","70936","8423","485368","0","593020","4845212","5380243","254125","1404898","16601","23716955","529252","21517606","1670097","1670640","6573","532677","78655880","185244"
"Michigan","2018","0","30046808","2182188","14398369","9595949","4802420","1473002","165758","920907","36823","2205930","10166720","971032","1337873","990626","14247731","9883347","5187385","0","4442075","33285","817","0","0","57229","6975","8046","0","0","147535","2716831","10850570","0","1667021","11164","16115949","180409","13046120","2889420","1859229","0","489803","30431567","176744"
"Minnesota","2018","0","26697469","818513","10614808","5830256","4784552","936893","91745","593410","54","3162450","11882330","1357004","800981","1223833","5986631","2888730","2037087","0","186083","16484","918","0","0","47376","43461","17727","265497","0","274097","1674123","5595415","0","1059213","1160","15394888","485726","13694423","1214739","522872","31239","377195","16600028","42130"
"Mississippi","2018","0","7890571","29540","5030854","3557752","1473102","436245","40883","139733","1496","854745","1852937","437407","158283","381550","2963219","2324471","1052554","0","1098987","18989","0","0","30158","18054","1341","3076","0","0","101312","1049451","2195798","0","611134","4119","6235033","56625","5835264","343144","348907","26953","138796","7252112","35341"
"Missouri","2018","0","13025070","33267","5539227","3686274","1852953","717894","38932","97408","0","998719","6510224","333724","296849","311779","5843375","3139464","1903975","0","1026734","3930","0","0","0","11488","3920","18290","0","1","171126","1346223","3167320","0","911822","7355","9682867","67166","9230883","384818","2055386","910","255371","17854734","41464"
"Montana","2018","0","3003980","300258","655034","0","655034","258958","36502","80530","44497","234547","1304315","175954","168827","399592","888264","543783","447988","0","2094","420","382","0","0","50930","1884","1462","0","0","38623","441912","933884","0","102712","4107","2220855","0","2107167","113688","239521","2295","54398","2739404","42928"
"Nebraska","2018","0","5393093","129","2502020","1900037","601983","373889","31230","57123","44942","94799","2360596","313690","113733","102925","1799743","1044318","859621","0","27627","1523","334","0","0","36057","8892","1704","0","116","108444","737197","1891957","0","268384","3461","2800679","0","2046346","754333","273095","2686","83018","2056773","44487"
"Nevada","2018","0","9157036","317136","7329456","5095689","2233767","343386","45340","177161","46300","1621580","0","0","198263","1312181","1426624","855686","541482","0","275","5832","0","0","0","11792","8268","9005","0","0","279032","962791","1614249","17117","633816","9716","3848433","45757","3447990","354686","308966","521","98945","3435955","64348"
"New Hampshire","2018","0","2920888","408769","1025902","0","1025902","183366","12828","212698","48987","568023","105759","790011","82270","508177","1818555","947822","615385","0","5963","142846","224","0","0","5123","22647","15033","2057","0","138544","403711","891916","0","260353","2064","2162169","47077","1821841","293251","151104","1225","65702","7739271","22720"
"New Jersey","2018","0","35365046","5016","15424507","10459419","4965088","458892","142459","660315","978816","2724606","15037845","2235653","657956","2004069","13837757","6960341","2865548","1213","828675","1797150","13555","0","32783","3449","47087","100403","6693","2441","1262557","4055786","6339173","2722300","4149010","4299","17869808","326935","15909420","1633453","1885474","13648","599282","65574574","200898"
"New Mexico","2018","0","5539329","84224","2874807","2073118","801689","230303","23811","78368","31747","437460","1071125","111297","200727","1197149","4398123","1753957","538708","0","1041838","12837","0","0","0","15901","1377","6068","0","976","136252","695448","2484384","0","388605","0","6238404","54704","5617077","566623","402862","4503","125058","7269354","10669"
"New York","2018","0","86870101","0","26399319","14820163","11579156","1636749","258327","1151660","877490","7654930","51501337","3079974","1411790","4477681","22623785","11186667","3080376","0","5678282","896420","61749","0","9685","69969","342778","8419","0","148","1038841","12825211","10764349","1203","2124887","4050","63492595","5277","62760887","726431","3498891","6469","892703","147959031","206733"
"North Carolina","2018","0","27854728","0","12213452","7931756","4281696","1974782","411971","292143","322","1602478","12609608","742512","853879","1435277","9835860","6425899","3705827","0","1896578","56957","484","2228","46300","50938","30329","68491","0","327","567440","5103178","8477165","526786","1906218","7951","13774218","12650","13329805","431763","1148219","9347","519532","15354553","103147"
"North Dakota","2018","0","4205184","4549","1395503","912532","482971","196649","8819","28001","49663","199839","367635","107277","118080","2212140","1807264","802554","441458","0","4497","0","4","0","0","21730","5652","2954","0","0","326259","534189","978790","0","125845","2539","1469698","71165","1239547","158986","132107","652","38163","3048711","15278"
"Ohio","2018","0","29324817","0","18348501","12148485","6200016","1912191","104977","941105","898003","2343740","8698901","9046","787276","1481093","15338355","9598656","5028079","0","3980411","321907","0","0","0","33741","27578","64250","0","0","142690","4621346","9356713","0","1553760","13793","26499653","454239","25239895","805519","1187330","31117","440538","35442075","118942"
"Oklahoma","2018","0","9428481","0","4193511","2855176","1338335","485276","122247","313411","45058","372343","3260447","234817","736979","1002727","5463411","3027298","2161408","0","227807","304413","204","0","0","20641","24349","12494","0","1906","274076","2841189","3887979","0","629014","4562","6767491","159498","5656140","951853","865622","15785","177125","8912241","75543"
"Oregon","2018","0","12647344","20116","1660004","0","1660004","533976","18404","263860","14891","828873","8879552","804453","539474","743745","8921896","6049714","1706705","0","2278070","44765","0","0","0","204775","29218","13158","0","87","1772936","1471042","3900898","0","1331213","5464","11012216","255122","6699496","4057598","865249","7678","230842","14285969","51799"
"Pennsylvania","2018","0","40709545","34399","21034252","10920832","10113420","3375429","397092","1372695","1155009","3813195","12800890","2486379","1183964","3169661","17566471","12654288","6356957","0","4249097","1246461","19","0","0","40889","71970","55887","9","68","632931","9189847","9750023","0","2550362","13638","27401015","1866253","24271606","1263156","2655918","6932","1119859","51014288","102562"
"Rhode Island","2018","0","3358594","2704","1682021","1048957","633064","79858","19918","146691","59651","326946","1329152","118118","29352","197247","1895173","1021230","476497","298","3415","46386","71853","0","0","15833","35882","15041","98337","10160","247826","444621","726465","51485","271978","2554","3189865","23510","2887417","278938","243469","0","90281","9078706","40772"
"South Carolina","2018","0","10530212","37298","4948178","3303220","1644958","646581","179115","27199","29003","763060","4432104","404164","274093","434375","7326414","5083362","2471024","0","1551191","92510","498","0","252013","32918","41892","12420","0","0","628896","2322633","4509982","0","1557017","10127","8008694","139130","7083446","786118","1226903","0","164349","14571479","98397"
"South Dakota","2018","0","1917548","0","1585089","1103624","481465","187424","18939","59158","3510","212434","0","32376","83369","216714","991853","360058","308294","0","1784","2520","0","0","0","13690","4405","0","0","0","29365","639337","722930","0","127503","2671","1210255","93964","1013984","102307","85550","1430","50544","3739690","11153"
